timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
597,0.0273,1.5050,5.6457,1325.1700,-252.0700,-334.0400
617,-0.0107,2.7665,3.8645,1229.9000,-267.6800,-319.0600
637,0.2577,2.9607,3.6214,1219.9600,-148.1200,-214.4100
657,0.7027,2.8128,3.5697,1169.1400,-31.0100,-187.8800
677,0.6969,3.1095,3.9001,1161.3700,1.3300,-185.5000
697,0.5627,3.3760,4.0850,1116.7800,-37.8700,-189.7700
717,0.4704,3.4721,3.8498,1078.4900,-84.8400,-195.1600
737,0.5963,3.5580,3.4799,1055.1801,-95.7600,-195.7200
757,0.6520,3.5878,3.0944,1040.2700,-73.6400,-212.4500
777,0.7374,3.6400,3.0061,1038.5200,-62.3700,-250.7400
797,0.5963,4.0602,2.7182,1010.9400,-37.3800,-295.1200
817,0.4260,4.1919,2.4581,1006.5300,6.5800,-314.1600
837,0.2733,4.4271,2.4093,987.0000,35.2100,-336.3500
857,0.2128,4.3896,2.1004,977.9000,24.5700,-359.1700
877,-0.0029,4.5652,1.8310,962.6400,-12.7400,-430.4300
897,-0.5700,5.2196,0.9321,913.9900,-21.4900,-503.6500
917,-1.1258,5.7023,0.8389,879.4100,-23.2400,-517.5800
937,-1.5426,6.4870,0.1684,844.4800,-40.5300,-500.2900
957,-1.9066,6.5812,-0.3816,793.1700,-44.3100,-470.8200
977,-2.1994,7.1609,-0.6866,763.4900,-35.7700,-429.9400
997,-2.3224,7.5337,-1.3400,701.1200,-15.3300,-398.7200
1017,-2.4244,7.7514,-1.7919,623.9100,-5.9500,-363.5100
1037,-2.5225,8.1359,-2.3697,545.1600,-7.6300,-309.2600
1057,-2.7162,8.2179,-3.2964,416.7100,-29.2600,-284.9000
1077,-2.9002,8.6410,-3.7332,303.3800,13.1600,-240.0300
1097,-3.0417,8.7567,-3.8342,191.8700,72.3100,-172.5500
1117,-3.3765,8.6527,-3.7556,78.0500,102.9000,-138.5300
1137,-3.6839,8.7864,-3.8523,-45.8500,13.7200,-146.4400
1157,-4.1704,9.1007,-4.4242,-207.5500,-133.9800,-161.7700
1177,-4.6253,9.8474,-5.1323,-348.2500,-259.1400,-138.0400
1197,-4.8878,10.1392,-5.8985,-483.0700,-296.3800,-23.1700
1217,-4.7014,9.9040,-6.1981,-656.3200,-318.2200,87.7800
1237,-4.3334,9.0861,-6.1737,-811.8600,-381.5000,180.3200
1257,-3.9674,8.5873,-6.5724,-1018.5700,-349.0200,283.5700
1277,-3.2574,7.3673,-6.1752,-1169.3500,-337.1900,358.4000
1297,-2.6025,6.2332,-5.6486,-1329.0200,-287.0700,407.0500
1317,-2.0223,5.0332,-4.8449,-1505.0699,-212.4500,441.7700
1337,-1.3947,3.7947,-3.8064,-1638.3500,-214.6200,455.5600
1357,-0.5822,2.6777,-2.9129,-1768.5500,-222.1100,447.7900
1377,0.1132,1.6192,-2.0589,-1851.5699,-175.9100,418.8100
1397,0.6061,0.3377,-0.5246,-1918.2100,-77.0700,378.7700
1417,0.6666,-0.7754,1.5567,-1948.9399,45.6400,343.2800
1437,0.5202,-2.0291,4.2998,-1920.4500,245.1400,345.8000
1457,0.3089,-3.1998,8.2755,-1817.9700,332.2200,352.5200
1477,0.2562,-4.0636,11.2850,-1688.1899,87.5700,259.9100
1497,0.5236,-3.9967,12.6299,-1516.0601,-267.6100,122.9200
1517,0.7603,-3.2838,11.9409,-1280.9301,-553.9800,58.0300
1537,0.7701,-2.2970,10.6716,-1154.1600,-635.2500,57.4700
