timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
4536,-0.0015,-2.9934,7.5440,6.3700,-22.7500,4.9700
4556,0.0366,-2.8880,7.4259,8.2600,-23.4500,2.7300
4576,0.0464,-2.9256,7.5699,5.1100,-25.1300,5.1100
4596,0.0303,-2.8738,7.4420,15.4000,-21.2100,5.3200
4616,0.0498,-2.8831,7.4298,11.4800,-20.5100,5.7400
4636,0.0639,-2.8836,7.5035,6.1600,-18.9000,7.2100
4656,0.0620,-2.9387,7.4923,10.7800,-20.5800,10.1500
4676,0.0244,-2.9060,7.4449,7.6300,-20.6500,11.0600
4696,0.0317,-2.9373,7.5347,12.8100,-26.0400,10.9200
4716,0.0386,-2.8782,7.4659,16.9400,-23.1000,9.9400
4736,0.0400,-2.9519,7.5050,15.3300,-30.1700,7.7700
4756,0.0532,-2.8406,7.3717,13.2300,-23.7300,9.6600
4776,0.0712,-2.9143,7.5172,9.3800,-22.6100,12.1800
4796,0.0742,-2.9182,7.5206,10.4300,-25.6900,8.9600
4816,0.0532,-2.8953,7.4527,10.9900,-24.1500,10.9900
4836,0.0503,-2.8997,7.4747,12.1100,-19.3200,12.3200
4856,0.0874,-2.9304,7.4469,7.0700,-20.7200,6.4400
4876,0.0556,-2.9095,7.5245,7.0000,-18.6200,9.4500
4896,0.0654,-2.9422,7.4859,9.5900,-20.3700,8.8900
4916,0.0512,-2.9002,7.4718,9.4500,-20.6500,8.6100
4936,0.0771,-2.8938,7.4361,8.7500,-22.1200,9.3100
4956,0.0664,-2.9080,7.5191,9.4500,-19.1800,13.5100
4976,0.0678,-2.9348,7.4698,10.8500,-19.4600,12.7400
4996,0.0400,-2.8943,7.4586,11.2000,-22.2600,12.1100
